year,quarter,country_state_level,location,transaction_count,transaction_amount
2022,2,state,gujarat,25381,32090965
2022,3,state,gujarat,31302,37557227
2022,4,state,gujarat,36418,50629325
2023,1,state,gujarat,32600,46937694
2023,2,state,gujarat,32484,46254095
2023,3,state,gujarat,51049,65768085
2023,4,state,gujarat,41128,66735446
2024,1,state,gujarat,44665,62633910
2024,2,state,gujarat,44007,63866463
2024,3,state,gujarat,46763,70950327
2024,4,state,gujarat,62526,91858105
2020,2,state,haryana,6321,1179814
2020,3,state,haryana,7139,1884868
2020,4,state,haryana,8283,5974278
2021,1,state,haryana,11038,7297880
2021,2,state,haryana,12516,11272453
2021,3,state,haryana,14163,13215898
2021,4,state,haryana,19489,25885838
2022,1,state,haryana,22783,32526943
2022,2,state,haryana,25352,33759068
2022,3,state,haryana,35346,45402800
2022,4,state,haryana,37971,56627115
2023,1,state,haryana,37287,61127194
2023,2,state,haryana,40710,62186066
2023,3,state,haryana,42815,61782311
2023,4,state,haryana,47506,80747159
2024,1,state,haryana,50391,81816509
2024,2,state,haryana,46085,74779879
2024,3,state,haryana,49735,79198642
2024,4,state,haryana,58808,94316512
2020,2,state,himachal-pradesh,392,77936
2020,3,state,himachal-pradesh,531,165559
2020,4,state,himachal-pradesh,710,630966
2021,1,state,himachal-pradesh,1064,906492
2021,2,state,himachal-pradesh,1210,1402338
2021,3,state,himachal-pradesh,1759,2444545
2021,4,state,himachal-pradesh,2474,4667661
2022,1,state,himachal-pradesh,2768,5234739
2022,2,state,himachal-pradesh,2831,5371078
2022,3,state,himachal-pradesh,3641,6161692
2022,4,state,himachal-pradesh,4565,9060436
2023,1,state,himachal-pradesh,3909,7826133
2023,2,state,himachal-pradesh,4197,8499425
2023,3,state,himachal-pradesh,3935,7869767
2023,4,state,himachal-pradesh,5211,11898824
2024,1,state,himachal-pradesh,5430,10433254
2024,2,state,himachal-pradesh,5194,10008705
2024,3,state,himachal-pradesh,5272,10538999
2024,4,state,himachal-pradesh,6697,14090523
2020,2,state,jammu-&-kashmir,206,48484
2020,3,state,jammu-&-kashmir,441,133339
2020,4,state,jammu-&-kashmir,647,734861
2021,1,state,jammu-&-kashmir,1105,1546288
2021,2,state,jammu-&-kashmir,1197,1832089
2021,3,state,jammu-&-kashmir,1452,2139133
2021,4,state,jammu-&-kashmir,3113,5223317
2022,1,state,jammu-&-kashmir,3584,7244267
2022,2,state,jammu-&-kashmir,4071,7729792
2022,3,state,jammu-&-kashmir,4794,8281826
2022,4,state,jammu-&-kashmir,5031,10111183
2023,1,state,jammu-&-kashmir,4555,10275877
2023,2,state,jammu-&-kashmir,5262,10974839
2023,3,state,jammu-&-kashmir,5453,10975874
2023,4,state,jammu-&-kashmir,6264,13932309
2024,1,state,jammu-&-kashmir,7313,14695182
2024,2,state,jammu-&-kashmir,7397,14237707
2024,3,state,jammu-&-kashmir,7597,15554635
2024,4,state,jammu-&-kashmir,8893,18252110
2020,2,state,jharkhand,2063,405031
2020,3,state,jharkhand,5368,1349934
2020,4,state,jharkhand,3659,2857024
2021,1,state,jharkhand,4879,3274851
2021,2,state,jharkhand,5180,5084230
2021,3,state,jharkhand,6794,7046048
2021,4,state,jharkhand,8465,11190423
2022,1,state,jharkhand,9373,13819466
2022,2,state,jharkhand,9477,13464840
2022,3,state,jharkhand,14388,18156857
2022,4,state,jharkhand,16779,23147805
2023,1,state,jharkhand,16108,23823406
2023,2,state,jharkhand,16662,23216215
2023,3,state,jharkhand,19478,25165702
2023,4,state,jharkhand,22398,33484644
2024,1,state,jharkhand,24824,34332990
2024,2,state,jharkhand,22224,32245129
2024,3,state,jharkhand,23629,34353146
2024,4,state,jharkhand,29079,42253614
2020,2,state,karnataka,27358,4794150
2020,3,state,karnataka,53701,12407394
2020,4,state,karnataka,31747,26814968
2021,1,state,karnataka,37595,30183325
2021,2,state,karnataka,40969,39501006
2021,3,state,karnataka,47468,48078366
2021,4,state,karnataka,74436,90723288
2022,1,state,karnataka,95640,130733580
2022,2,state,karnataka,93385,123228632
2022,3,state,karnataka,110273,144605784
2022,4,state,karnataka,133971,185063287
2023,1,state,karnataka,127376,186543426
2023,2,state,karnataka,117232,175704013
2023,3,state,karnataka,139699,199448538
2023,4,state,karnataka,156076,248056311
2024,1,state,karnataka,169357,264708700
2024,2,state,karnataka,142599,239304982
2024,3,state,karnataka,174990,287393291
2024,4,state,karnataka,183532,305861806
2020,2,state,kerala,1588,360216
2020,3,state,kerala,8811,2830361
2020,4,state,kerala,5479,4445525
2021,1,state,kerala,5731,5040506
2021,2,state,kerala,9530,9676588
2021,3,state,kerala,10926,13255646
2021,4,state,kerala,19199,31260319
2022,1,state,kerala,37110,64172190
2022,2,state,kerala,35667,59920203
2022,3,state,kerala,54587,85390924
2022,4,state,kerala,65563,103982997
2023,1,state,kerala,62377,101786828
2023,2,state,kerala,61032,100620604
2023,3,state,kerala,66059,110021582
2023,4,state,kerala,73543,121905046
2024,1,state,kerala,73106,115101791
2024,2,state,kerala,65271,108142369
2024,3,state,kerala,79123,131721699
2024,4,state,kerala,89533,144083113
2020,2,state,ladakh,14,2538
2020,3,state,ladakh,33,10260
2020,4,state,ladakh,27,34206
2021,1,state,ladakh,32,34530
2021,2,state,ladakh,46,86251
2021,3,state,ladakh,192,174052
2021,4,state,ladakh,76,195966
2022,1,state,ladakh,75,193935
2022,2,state,ladakh,113,269446
2022,3,state,ladakh,137,369742
2022,4,state,ladakh,162,410091
2023,1,state,ladakh,161,495736
2023,2,state,ladakh,215,635831
2023,3,state,ladakh,232,649027
2023,4,state,ladakh,242,718967
2024,1,state,ladakh,291,614435
2024,2,state,ladakh,415,964349
2024,3,state,ladakh,446,978637
2024,4,state,ladakh,429,970334
2020,3,state,lakshadweep,4,1199
2021,1,state,lakshadweep,4,5225
2021,2,state,lakshadweep,5,6962
2021,3,state,lakshadweep,19,16034
2021,4,state,lakshadweep,11,17096
2022,1,state,lakshadweep,27,34664
2022,2,state,lakshadweep,18,27463
2022,3,state,lakshadweep,38,41504
2022,4,state,lakshadweep,15,27135
2023,1,state,lakshadweep,26,30199
2023,2,state,lakshadweep,15,38384
2023,3,state,lakshadweep,12,12407
2023,4,state,lakshadweep,53,78346
2024,1,state,lakshadweep,15,12935
2024,2,state,lakshadweep,26,33630
2024,3,state,lakshadweep,49,55312
2024,4,state,lakshadweep,159,185542
2020,2,state,madhya-pradesh,6283,1198701
2020,3,state,madhya-pradesh,14476,3496126
2020,4,state,madhya-pradesh,10653,4897124
2021,1,state,madhya-pradesh,14427,5567927
2021,2,state,madhya-pradesh,14803,9787391
2021,3,state,madhya-pradesh,11990,7806258
2021,4,state,madhya-pradesh,15069,17524432
2022,1,state,madhya-pradesh,13791,19901462
2022,2,state,madhya-pradesh,14629,20159098
2022,3,state,madhya-pradesh,22733,29185118
2022,4,state,madhya-pradesh,29234,42712883
2023,1,state,madhya-pradesh,26393,45135679
2023,2,state,madhya-pradesh,27027,44871764
2023,3,state,madhya-pradesh,29300,46963348
2023,4,state,madhya-pradesh,40784,73801070
2024,1,state,madhya-pradesh,51223,85215982
2024,2,state,madhya-pradesh,41429,73836667
2024,3,state,madhya-pradesh,43248,77995668
2024,4,state,madhya-pradesh,59688,101096769
2020,2,state,maharashtra,39836,6879717
2020,3,state,maharashtra,71662,19230156
2020,4,state,maharashtra,44798,27113814
2021,1,state,maharashtra,55792,33137753
2021,2,state,maharashtra,70381,46763103
2021,3,state,maharashtra,52268,41313307
2021,4,state,maharashtra,82423,93262227
2022,1,state,maharashtra,88015,117411928
2022,2,state,maharashtra,80935,104603934
2022,3,state,maharashtra,90958,113835208
2022,4,state,maharashtra,125900,174915648
2023,1,state,maharashtra,112174,166596248
2023,2,state,maharashtra,102754,157303399
2023,3,state,maharashtra,104872,151171882
2023,4,state,maharashtra,136968,217657114
2024,1,state,maharashtra,149016,224725389
2024,2,state,maharashtra,118933,198945046
2024,3,state,maharashtra,119776,201319952
2024,4,state,maharashtra,168078,266942711
2020,2,state,manipur,55,12554
2020,3,state,manipur,134,45164
2020,4,state,manipur,90,49057
2021,1,state,manipur,136,72254
2021,2,state,manipur,127,81332
2021,3,state,manipur,111,133016
2021,4,state,manipur,145,271789
2022,1,state,manipur,177,517854
2022,2,state,manipur,218,553649
2022,3,state,manipur,200,403213
2022,4,state,manipur,271,620655
2023,1,state,manipur,222,632084
2023,2,state,manipur,123,341671
2023,3,state,manipur,76,193021
2023,4,state,manipur,225,476626
2024,1,state,manipur,385,685052
2024,2,state,manipur,346,647411
2024,3,state,manipur,285,587893
2024,4,state,manipur,405,826159
2020,2,state,meghalaya,41,8829
2020,3,state,meghalaya,112,33615
2020,4,state,meghalaya,92,71029
2021,1,state,meghalaya,107,128776
2021,2,state,meghalaya,139,148434
2021,3,state,meghalaya,139,214554
2021,4,state,meghalaya,263,451612
2022,1,state,meghalaya,337,729211
2022,2,state,meghalaya,379,789094
2022,3,state,meghalaya,600,1039491
2022,4,state,meghalaya,627,1189529
2023,1,state,meghalaya,562,1187523
2023,2,state,meghalaya,730,1551577
2023,3,state,meghalaya,809,1728076
2023,4,state,meghalaya,806,1843364
2024,1,state,meghalaya,1030,1987107
2024,2,state,meghalaya,1235,2318007
2024,3,state,meghalaya,1140,2443878
2024,4,state,meghalaya,1313,2493656
2020,2,state,mizoram,31,7322
2020,3,state,mizoram,74,24691
2020,4,state,mizoram,81,119124
2021,1,state,mizoram,415,302841
2021,2,state,mizoram,187,124805
2021,3,state,mizoram,81,83641
2021,4,state,mizoram,100,175847
2022,1,state,mizoram,85,189428
2022,2,state,mizoram,76,115090
2022,3,state,mizoram,310,471306
2022,4,state,mizoram,350,612551
2023,1,state,mizoram,171,326688
2023,2,state,mizoram,119,232928
2023,3,state,mizoram,166,271799
2023,4,state,mizoram,312,557950
2024,1,state,mizoram,277,427693
2024,2,state,mizoram,214,331455
2024,3,state,mizoram,186,275746
2024,4,state,mizoram,489,811687
2020,2,state,nagaland,41,9791
2020,3,state,nagaland,89,20798
2020,4,state,nagaland,62,38836
2021,1,state,nagaland,79,42973
2021,2,state,nagaland,85,139479
2021,3,state,nagaland,91,123643
2021,4,state,nagaland,183,341424
2022,1,state,nagaland,242,529223
2022,2,state,nagaland,186,380878
2022,3,state,nagaland,210,439669
2022,4,state,nagaland,367,700864
2023,1,state,nagaland,320,704957
2023,2,state,nagaland,269,628890
2023,3,state,nagaland,268,632287
2023,4,state,nagaland,331,822973
2024,1,state,nagaland,526,925684
2024,2,state,nagaland,418,685292
2024,3,state,nagaland,410,820539
2024,4,state,nagaland,568,1168417
2020,2,state,odisha,2981,615193
2020,3,state,odisha,10955,2640191
2020,4,state,odisha,7526,4208701
2021,1,state,odisha,8236,4383330
2021,2,state,odisha,7942,5832924
2021,3,state,odisha,7967,6008686
2021,4,state,odisha,9093,10941626
2022,1,state,odisha,9627,14539309
2022,2,state,odisha,12371,16631095
2022,3,state,odisha,18898,23308531
2022,4,state,odisha,24538,33565401
2023,1,state,odisha,18899,29360555
2023,2,state,odisha,22163,31307110
2023,3,state,odisha,20263,29008350
2023,4,state,odisha,25065,39753392
2024,1,state,odisha,27977,40032495
2024,2,state,odisha,24579,36840474
2024,3,state,odisha,26524,40608651
2024,4,state,odisha,33165,46973224
2020,2,state,puducherry,112,22251
2020,3,state,puducherry,191,58399
2020,4,state,puducherry,234,197955
2021,1,state,puducherry,372,351827
2021,2,state,puducherry,526,508277
2021,3,state,puducherry,561,556442
2021,4,state,puducherry,786,946607
2022,1,state,puducherry,1199,1663404
2022,2,state,puducherry,1156,1597786
2022,3,state,puducherry,1585,2025529
2022,4,state,puducherry,2331,2693130
2023,1,state,puducherry,1955,2593091
2023,2,state,puducherry,1809,2614006
2023,3,state,puducherry,2232,2891647
2023,4,state,puducherry,2447,3419395
2024,1,state,puducherry,2702,3793554
2024,2,state,puducherry,2304,3322997
2024,3,state,puducherry,2600,3968523
2024,4,state,puducherry,2838,3896033
2020,2,state,punjab,2036,399452
2020,3,state,punjab,2488,684753
2020,4,state,punjab,2451,1884291
2021,1,state,punjab,3783,2558380
2021,2,state,punjab,4047,3768919
2021,3,state,punjab,4887,5271559
2021,4,state,punjab,6638,9912828
2022,1,state,punjab,7475,13155682
2022,2,state,punjab,9175,15465367
2022,3,state,punjab,12370,19381895
2022,4,state,punjab,12187,21727831
2023,1,state,punjab,10816,23330966
2023,2,state,punjab,13187,24998175
2023,3,state,punjab,14048,24461488
2023,4,state,punjab,13777,28715828
2024,1,state,punjab,14729,28213940
2024,2,state,punjab,14129,27164397
2024,3,state,punjab,15509,30111034
2024,4,state,punjab,16279,31878987
2020,2,state,rajasthan,5373,1095933
2020,3,state,rajasthan,15235,3758527
2020,4,state,rajasthan,12509,6471573
2021,1,state,rajasthan,17800,8074225
2021,2,state,rajasthan,18281,14357445
2021,3,state,rajasthan,16643,12793862
2021,4,state,rajasthan,19375,24455262
2022,1,state,rajasthan,21517,31576932
2022,2,state,rajasthan,24333,33748931
2022,3,state,rajasthan,33975,45565544
2022,4,state,rajasthan,40926,60792838
2023,1,state,rajasthan,34415,61441050
2023,2,state,rajasthan,37170,61301449
2023,3,state,rajasthan,39960,64328784
2023,4,state,rajasthan,49741,94701652
2024,1,state,rajasthan,59127,102926410
2024,2,state,rajasthan,55241,95504657
2024,3,state,rajasthan,64533,108827800
2024,4,state,rajasthan,73530,127930986
2020,2,state,sikkim,21,4789
2020,3,state,sikkim,94,28000
2020,4,state,sikkim,67,70214
2021,1,state,sikkim,122,111777
2021,2,state,sikkim,93,122064
2021,3,state,sikkim,106,140552
2021,4,state,sikkim,195,503532
2022,1,state,sikkim,239,685987
2022,2,state,sikkim,160,383709
2022,3,state,sikkim,243,474940
2022,4,state,sikkim,306,667214
2023,1,state,sikkim,260,688605
2023,2,state,sikkim,270,628191
2023,3,state,sikkim,251,698251
2023,4,state,sikkim,324,793745
2024,1,state,sikkim,400,880182
2024,2,state,sikkim,685,1590554
2024,3,state,sikkim,461,1029398
2024,4,state,sikkim,599,1381680
2020,2,state,tamil-nadu,5473,1075552
2020,3,state,tamil-nadu,8026,2257373
2020,4,state,tamil-nadu,10290,8993575
2021,1,state,tamil-nadu,14406,11180849
2021,2,state,tamil-nadu,17682,16444344
2021,3,state,tamil-nadu,23107,23402918
2021,4,state,tamil-nadu,33037,42184290
2022,1,state,tamil-nadu,47621,64969045
2022,2,state,tamil-nadu,46714,61835120
2022,3,state,tamil-nadu,64356,79747520
2022,4,state,tamil-nadu,125491,146457790
2023,1,state,tamil-nadu,90690,116710222
2023,2,state,tamil-nadu,79698,105328191
2023,3,state,tamil-nadu,91069,114625593
2023,4,state,tamil-nadu,104871,139433796
2024,1,state,tamil-nadu,111521,148976175
2024,2,state,tamil-nadu,97348,135972378
2024,3,state,tamil-nadu,116867,162128271
2024,4,state,tamil-nadu,127002,173784251
2020,2,state,telangana,19003,3419453
2020,3,state,telangana,34395,8406543
2020,4,state,telangana,20961,11339099
2021,1,state,telangana,28298,14810947
2021,2,state,telangana,28870,20935651
2021,3,state,telangana,27080,20925217
2021,4,state,telangana,34848,38845492
2022,1,state,telangana,36325,51942016
2022,2,state,telangana,45600,58056956
2022,3,state,telangana,51465,64798126
2022,4,state,telangana,64655,88544127
2023,1,state,telangana,54508,82678207
2023,2,state,telangana,55118,79238968
2023,3,state,telangana,61523,84397465
2023,4,state,telangana,63993,105605522
2024,1,state,telangana,67388,105607539
2024,2,state,telangana,56941,96037304
2024,3,state,telangana,64873,110715264
2024,4,state,telangana,78498,124755619
2020,2,state,tripura,88,22054
2020,3,state,tripura,249,61642
2020,4,state,tripura,244,149765
2021,1,state,tripura,360,191531
2021,2,state,tripura,381,409934
2021,3,state,tripura,494,649961
2021,4,state,tripura,702,1022508
2022,1,state,tripura,907,1493401
2022,2,state,tripura,1021,1509105
2022,3,state,tripura,1590,2105984
2022,4,state,tripura,1508,2112534
2023,1,state,tripura,1642,2404958
2023,2,state,tripura,1563,2163813
2023,3,state,tripura,2071,2899393
2023,4,state,tripura,2237,3169741
2024,1,state,tripura,2637,3417568
2024,2,state,tripura,2188,2869489
2024,3,state,tripura,2516,3323343
2024,4,state,tripura,2794,3765732
2020,2,state,uttar-pradesh,9884,1912266
2020,3,state,uttar-pradesh,18131,4436969
2020,4,state,uttar-pradesh,17470,14180417
2021,1,state,uttar-pradesh,24103,18027573
2021,2,state,uttar-pradesh,25952,25137571
2021,3,state,uttar-pradesh,32799,32641118
2021,4,state,uttar-pradesh,44132,59654951
2022,1,state,uttar-pradesh,45996,73014969
2022,2,state,uttar-pradesh,55133,77434953
2022,3,state,uttar-pradesh,64514,87703512
2022,4,state,uttar-pradesh,77022,116755813
2023,1,state,uttar-pradesh,73080,127110494
2023,2,state,uttar-pradesh,74194,122522457
2023,3,state,uttar-pradesh,78940,121483170
2023,4,state,uttar-pradesh,92125,165509877
2024,1,state,uttar-pradesh,103701,176442664
2024,2,state,uttar-pradesh,92458,159894258
2024,3,state,uttar-pradesh,92930,157303596
2024,4,state,uttar-pradesh,116589,199179867
2020,2,state,uttarakhand,660,134899
2020,3,state,uttarakhand,1403,418543
2020,4,state,uttarakhand,1756,1961891
2021,1,state,uttarakhand,2607,2719327
2021,2,state,uttarakhand,2742,3265717
2021,3,state,uttarakhand,4111,4646571
2021,4,state,uttarakhand,5529,7849020
2022,1,state,uttarakhand,5339,8824948
2022,2,state,uttarakhand,5773,9168313
2022,3,state,uttarakhand,6784,10070172
2022,4,state,uttarakhand,8750,13817747
2023,1,state,uttarakhand,7552,13599026
2023,2,state,uttarakhand,8051,14034915
2023,3,state,uttarakhand,7856,12636749
2023,4,state,uttarakhand,10040,19045152
2024,1,state,uttarakhand,11533,19531483
2024,2,state,uttarakhand,10311,17754447
2024,3,state,uttarakhand,10487,17860144
2024,4,state,uttarakhand,13090,23367549
2020,2,state,west-bengal,7619,1432764
2020,3,state,west-bengal,12596,2878482
2020,4,state,west-bengal,10233,7510455
2021,1,state,west-bengal,15488,11172042
2021,2,state,west-bengal,15200,12396029
2021,3,state,west-bengal,24839,21424337
2021,4,state,west-bengal,26320,31282871
2022,1,state,west-bengal,38779,51160527
2022,2,state,west-bengal,33542,41737021
2022,3,state,west-bengal,47853,59092307
2022,4,state,west-bengal,54277,70466433
2023,1,state,west-bengal,56833,77461732
2023,2,state,west-bengal,49792,65204280
2023,3,state,west-bengal,58131,76359312
2023,4,state,west-bengal,72712,100365562
2024,1,state,west-bengal,79576,104987909
2024,2,state,west-bengal,67048,89476633
